189           NREACH
18 62 1 1 1   REACH_ROW REACH_COL REACH_SEG REACH_NUM ON_OFF
19 63 1 2 1
20 64 1 3 1
21 64 1 4 1
22 65 1 5 1
20 66 2 1 1
21 65 2 2 1
22 65 2 3 1
22 65 3 1 1
23 65 3 2 1
24 66 3 3 1
25 67 3 4 1
26 68 3 5 1
27 68 3 6 1
28 69 3 7 1
29 69 3 8 1
30 69 3 9 1
31 70 3 10 1
32 70 3 11 1
33 70 3 12 1
34 69 3 13 1
35 69 3 14 1
36 69 3 15 1
37 69 3 16 1
38 69 3 17 1
39 70 3 18 1
25 49 4 1 1
26 50 4 2 1
27 51 4 3 1
28 51 4 4 1
29 52 4 5 1
30 52 4 6 1
31 52 4 7 1
32 52 4 8 1
33 53 4 9 1
34 54 4 10 1
35 55 4 11 1
36 55 4 12 1
35 37 5 1 1
34 38 5 2 1
33 39 5 3 1
32 40 5 4 1
32 41 5 5 1
32 42 5 6 1
32 43 5 7 1
33 44 5 8 1
34 45 5 9 1
34 46 5 10 1
34 47 5 11 1
34 47 6 1 1
34 48 6 2 1
35 49 6 3 1
35 50 6 4 1
35 51 6 5 1
36 52 6 6 1
36 53 6 7 1
37 54 6 8 1
36 55 6 9 1
36 34 7 1 1
35 35 7 2 1
35 36 7 3 1
35 37 7 4 1
52 49 8 1 1
51 48 8 2 1
50 47 8 3 1
49 47 8 4 1
48 46 8 5 1
47 46 8 6 1
46 46 8 7 1
45 46 8 8 1
44 46 8 9 1
43 46 8 10 1
42 46 8 11 1
41 45 8 12 1
40 45 8 13 1
39 45 8 14 1
38 45 8 15 1
37 45 8 16 1
36 46 8 17 1
35 46 8 18 1
34 47 8 19 1
37 26 9 1 1
37 27 9 2 1
37 28 9 3 1
36 29 9 4 1
36 30 9 5 1
36 31 9 6 1
36 32 9 7 1
36 33 9 8 1
36 34 9 9 1
58 37 10 1 1
57 37 10 2 1
56 38 10 3 1
55 38 10 4 1
54 38 10 5 1
53 38 10 6 1
52 38 10 7 1
51 39 10 8 1
50 39 10 9 1
49 38 10 10 1
48 37 10 11 1
47 36 10 12 1
46 36 10 13 1
45 36 10 14 1
44 36 10 15 1
43 36 10 16 1
42 37 10 17 1
41 37 10 18 1
40 37 10 19 1
39 38 10 20 1
38 38 10 21 1
37 37 10 22 1
36 37 10 23 1
35 37 10 24 1
36 55 11 1 1
36 56 11 2 1
37 57 11 3 1
37 58 11 4 1
37 59 11 5 1
37 60 11 6 1
38 61 11 7 1
38 62 11 8 1
51 11 12 1 1
50 12 12 2 1
49 12 12 3 1
48 13 12 4 1
48 14 12 5 1
47 15 12 6 1
47 16 12 7 1
46 17 12 8 1
46 18 12 9 1
46 19 12 10 1
46 20 12 11 1
45 21 12 12 1
44 22 12 13 1
43 23 12 14 1
42 24 12 15 1
42 25 12 16 1
42 26 12 17 1
42 27 12 18 1
42 28 12 19 1
41 29 12 20 1
40 30 12 21 1
39 31 12 22 1
38 32 12 23 1
37 33 12 24 1
36 34 12 25 1
38 62 13 1 1
38 63 13 2 1
38 64 13 3 1
38 65 13 4 1
38 66 13 5 1
38 67 13 6 1
39 68 13 7 1
39 69 13 8 1
39 70 13 9 1
46 61 14 1 1
45 61 14 2 1
44 61 14 3 1
43 61 14 4 1
42 61 14 5 1
41 61 14 6 1
40 61 14 7 1
39 61 14 8 1
38 62 14 9 1
39 70 15 1 1
39 71 15 2 1
40 72 15 3 1
40 73 15 4 1
40 74 15 5 1
40 75 15 6 1
40 75 16 1 1
40 76 16 2 1
55 73 17 1 1
54 73 17 2 1
53 73 17 3 1
52 73 17 4 1
51 72 17 5 1
50 72 17 6 1
49 72 17 7 1
48 72 17 8 1
47 72 17 9 1
46 72 17 10 1
45 72 17 11 1
44 73 17 12 1
43 73 17 13 1
42 73 17 14 1
41 74 17 15 1
40 75 17 16 1
