6
runoff 1
basin_cfs 1
basin_ssflow_cfs 1
basin_gwflow_cfs 1
basin_sroff_cfs 1
basin_dunnian 1
48 1982 11 17 0 0 0   7.000E+00  9.533E+00  7.889E+00 -1.645E+00  0.000E+00  0.000E+00
49 1982 11 18 0 0 0   1.800E+01  1.919E+02  1.894E+02 -2.190E+00  3.326E-01  0.000E+00
50 1982 11 19 0 0 0   1.400E+01  1.528E+01  1.274E+01 -2.513E+00  2.461E-02  0.000E+00
51 1982 11 20 0 0 0   1.000E+01  1.161E+01  9.250E+00 -2.360E+00  1.311E-05  0.000E+00
52 1982 11 21 0 0 0   9.300E+00  1.149E+01  9.271E+00 -2.216E+00  0.000E+00  0.000E+00
53 1982 11 22 0 0 0   8.800E+00  1.618E+01  1.397E+01 -2.201E+00  1.162E-02  0.000E+00
54 1982 11 23 0 0 0   8.300E+00  1.156E+01  9.447E+00 -2.108E+00  0.000E+00  0.000E+00
55 1982 11 24 0 0 0   8.000E+00  1.144E+01  9.413E+00 -2.026E+00  0.000E+00  0.000E+00
56 1982 11 25 0 0 0   7.600E+00  1.080E+01  8.832E+00 -1.964E+00  0.000E+00  0.000E+00
57 1982 11 26 0 0 0   7.400E+00  1.019E+01  8.280E+00 -1.914E+00  0.000E+00  0.000E+00
58 1982 11 27 0 0 0   7.400E+00  1.503E+01  1.306E+01 -1.963E+00  8.291E-03  0.000E+00
59 1982 11 28 0 0 0   8.200E+00  2.138E+01  1.931E+01 -2.053E+00  1.415E-02  0.000E+00
60 1982 11 29 0 0 0   8.200E+00  2.942E+01  2.714E+01 -2.239E+00  4.615E-02  0.000E+00
61 1982 11 30 0 0 0   8.000E+00  1.313E+01  1.093E+01 -2.193E+00  0.000E+00  0.000E+00
62 1982 12 1 0 0 0   7.700E+00  1.307E+01  1.098E+01 -2.092E+00  0.000E+00  0.000E+00
63 1982 12 2 0 0 0   7.300E+00  1.212E+01  1.005E+01 -2.015E+00  5.053E-02  1.771E-04
64 1982 12 3 0 0 0   7.200E+00  1.193E+01  9.537E+00 -1.952E+00  4.455E-01  1.561E-03
65 1982 12 4 0 0 0   7.200E+00  1.153E+01  9.177E+00 -1.905E+00  4.495E-01  1.575E-03
66 1982 12 5 0 0 0   7.200E+00  1.100E+01  8.691E+00 -1.867E+00  4.385E-01  1.537E-03
67 1982 12 6 0 0 0   7.100E+00  1.049E+01  8.228E+00 -1.837E+00  4.277E-01  1.499E-03
68 1982 12 7 0 0 0   6.900E+00  1.007E+01  7.836E+00 -1.811E+00  4.208E-01  1.475E-03
69 1982 12 8 0 0 0   6.700E+00  9.757E+00  7.553E+00 -1.789E+00  4.144E-01  1.452E-03
70 1982 12 9 0 0 0   6.800E+00  9.400E+00  7.221E+00 -1.770E+00  4.088E-01  1.433E-03
71 1982 12 10 0 0 0   6.700E+00  9.155E+00  6.997E+00 -1.753E+00  4.041E-01  1.416E-03
72 1982 12 11 0 0 0   6.400E+00  8.836E+00  6.698E+00 -1.738E+00  3.996E-01  1.400E-03
73 1982 12 12 0 0 0   6.400E+00  8.643E+00  6.524E+00 -1.723E+00  3.956E-01  1.386E-03
74 1982 12 13 0 0 0   6.400E+00  1.501E+01  1.210E+01 -1.876E+00  1.036E+00  3.601E-03
75 1982 12 14 0 0 0   6.200E+00  8.475E+00  6.577E+00 -1.840E+00  5.735E-02  2.010E-04
76 1982 12 15 0 0 0   6.200E+00  8.952E+00  6.657E+00 -1.790E+00  5.051E-01  1.770E-03
77 1982 12 16 0 0 0   6.200E+00  9.105E+00  7.034E+00 -1.775E+00  2.960E-01  1.031E-03
78 1982 12 17 0 0 0   6.400E+00  4.460E+01  3.922E+01 -2.050E+00  3.332E+00  1.160E-02
