 "GAGE No.    2:  K,I,J Coord. =     1,   36,   54;  STREAM SEGMENT =    19;  REACH =     1 "
 "STREAM SEGMENT    19 IS DIVERTED FROM SEGMENT    16 DIVERSION TYPE IS IPRIOR OF     0 "
     "DATA: Time           Stage       Max.-Rate   Rate-Diverted   Upstream-Flow "
     6.7000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0489843E+04
     6.8000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0703988E+04
     6.9000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0488827E+04
     7.0000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0343328E+04
     7.1000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0173383E+04
     7.2000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0283824E+04
     7.3000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0382461E+04
     7.4000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0786217E+04
     7.5000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0915329E+04
     7.6000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1042198E+04
     7.7000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1056566E+04
     7.8000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1183260E+04
     7.9000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1243650E+04
     8.0000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1222248E+04
     8.1000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1301638E+04
     8.2000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1325102E+04
     8.3000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1346844E+04
     8.4000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1365755E+04
     8.5000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1379825E+04
     8.6000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1393826E+04
     8.7000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1409344E+04
     8.8000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1424966E+04
     8.9000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1440375E+04
     9.0000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1420169E+04
     9.1000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1463018E+04
     9.2000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1476306E+04
     9.3000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1482879E+04
     9.4000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1398722E+04
     9.5000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1457463E+04
     9.6000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1271661E+04
     9.7000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1098075E+04
     9.8000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1393296E+04
     9.9000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1422419E+04
     1.0000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1189933E+04
     1.0100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1552467E+04
     1.0200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1404217E+04
     1.0300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1352241E+04
     1.0400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1241765E+04
     1.0500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0601408E+04
     1.0600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0634047E+04
     1.0700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0752757E+04
     1.0800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0947356E+04
     1.0900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1147084E+04
     1.1000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1047381E+04
     1.1100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1001872E+04
     1.1200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1260696E+04
     1.1300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1512284E+04
     1.1400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1628093E+04
     1.1500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1602195E+04
     1.1600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1348512E+04
     1.1700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1372604E+04
     1.1800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1529782E+04
     1.1900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1373957E+04
     1.2000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1605912E+04
     1.2100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1519245E+04
     1.2200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1588207E+04
     1.2300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1355566E+04
     1.2400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0731799E+04
     1.2500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0689810E+04
     1.2600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0245360E+04
     1.2700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0648807E+04
     1.2800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0489931E+04
     1.2900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0702145E+04
     1.3000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0730148E+04
     1.3100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0532885E+04
     1.3200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0452371E+04
     1.3300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0430357E+04
     1.3400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0439028E+04
     1.3500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0201342E+04
     1.3600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0422567E+04
     1.3700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.9166006E+03
     1.3800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.6449658E+03
     1.3900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.6488252E+03
     1.4000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.6980322E+03
     1.4100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0422530E+04
     1.4200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0707464E+04
     1.4300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.7844492E+03
     1.4400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.9254854E+03
     1.4500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.7827705E+03
     1.4600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0055586E+04
     1.4700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0160807E+04
     1.4800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0491286E+04
     1.4900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0159627E+04
     1.5000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.8342891E+03
     1.5100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.9561689E+03
     1.5200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.9219854E+03
     1.5300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1063757E+04
     1.5400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1204212E+04
     1.5500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1065818E+04
     1.5600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0647941E+04
     1.5700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1254396E+04
     1.5800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1526024E+04
     1.5900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1274609E+04
     1.6000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1089047E+04
     1.6100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0852552E+04
     1.6200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1164951E+04
     1.6300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1532177E+04
     1.6400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1368955E+04
     1.6500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1293820E+04
     1.6600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1292974E+04
     1.6700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1592529E+04
     1.6800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1613587E+04
     1.6900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1279794E+04
     1.7000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1335872E+04
     1.7100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1335804E+04
     1.7200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1357489E+04
     1.7300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1628309E+04
     1.7400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1519849E+04
     1.7500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1229699E+04
     1.7600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1467604E+04
     1.7700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1521225E+04
     1.7800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1638249E+04
     1.7900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1695902E+04
     1.8000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1398435E+04
     1.8100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0901819E+04
     1.8200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.8894785E+03
     1.8300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.5583086E+03
     1.8400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0243469E+04
     1.8500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0197939E+04
     1.8600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.6132822E+03
     1.8700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.7944287E+03
     1.8800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.5593379E+03
     1.8900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.9409404E+03
     1.9000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0583229E+04
     1.9100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0118261E+04
     1.9200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.5600811E+03
     1.9300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1188460E+04
     1.9400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.1161784E+04
     1.9500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0807512E+04
     1.9600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.6372051E+03
     1.9700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.6136104E+03
     1.9800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.3800771E+03
     1.9900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0822752E+04
     2.0000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0640144E+04
     2.0100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0082189E+04
     2.0200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.5729238E+03
     2.0300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.9746650E+03
     2.0400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.3081816E+03
     2.0500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.0335107E+03
     2.0600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.3146416E+03
     2.0700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.8190430E+03
     2.0800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0858038E+04
     2.0900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.9930049E+03
     2.1000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.7277832E+03
     2.1100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.8573652E+03
     2.1200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.3371855E+03
     2.1300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.3956211E+03
     2.1400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0224609E+04
     2.1500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0585542E+04
     2.1600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.6386836E+03
     2.1700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.1428428E+03
     2.1800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.5537720E+03
     2.1900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.6286851E+03
     2.2000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.1780146E+03
     2.2100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.8433213E+03
     2.2200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.8822012E+03
     2.2300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0541216E+04
     2.2400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0453972E+04
     2.2500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.3652930E+03
     2.2600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.0346699E+03
     2.2700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.2163223E+03
     2.2800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.9455630E+03
     2.2900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.7633584E+03
     2.3000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.6679668E+03
     2.3100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0059941E+04
     2.3200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   1.0026904E+04
     2.3300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.7802002E+03
     2.3400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.2775864E+03
     2.3500000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.4448457E+03
     2.3600000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.0813130E+03
     2.3700000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   5.7327979E+03
     2.3800000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.1569033E+03
     2.3900000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.4580483E+03
     2.4000000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.4464077E+03
     2.4100000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.9262266E+03
     2.4200000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.5256265E+03
     2.4300000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.4948369E+03
     2.4400000E+02   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.4602910E+03
